ratingID,email,Salon_Name,type_of_service,ratings
1,Ronifirstman@gmail.com,Ronis Beauty Salon,manicure,5
2,Ronifirstman@gmail.com,Ronis Beauty Salon,padicure,4
3,Ronifirstman@gmail.com,NailsNailsNails,eyebrow shaping,3
4,Ronifirstman@gmail.com,Yulia,manicure,2
5,rfirstman@pandologic.com,Ronis Beauty Salon,padicure,1
6,rfirstman@pandologic.com,NailsNailsNails,eyebrow shaping,5
7,rfirstman@pandologic.com,Yulia,manicure,3
8,gal@gmail.com,Ronis Beauty Salon,padicure,4
9,gal@gmail.com,NailsNailsNails,eyebrow shaping,2
10,gal@gmail.com,Yulia,eyelash lifting,5
